STOP_LOSS_PCT,TAKE_PROFIT_PCT,TRAILING_STOP_PCT,VOLUME_SPIKE_MIN,LOOKBACK_BREAKOUT,ML_PROB_THRESHOLD,mean_oos_score,mean_is_score,overfit_gap,valid_windows
0.03,0.06,0.07,1.05,20,0.55,-999.0,-999.0,0.0,0
0.03,0.06,0.07,1.1,20,0.55,-999.0,-999.0,0.0,0
0.03,0.06,0.1,1.05,20,0.55,-999.0,-999.0,0.0,0
0.03,0.06,0.1,1.1,20,0.55,-999.0,-999.0,0.0,0
0.03,0.09,0.07,1.05,20,0.55,-999.0,-999.0,0.0,0
0.03,0.09,0.07,1.1,20,0.55,-999.0,-999.0,0.0,0
0.03,0.09,0.1,1.05,20,0.55,-999.0,-999.0,0.0,0
0.03,0.09,0.1,1.1,20,0.55,-999.0,-999.0,0.0,0
0.04,0.06,0.07,1.05,20,0.55,-999.0,-999.0,0.0,0
0.04,0.06,0.07,1.1,20,0.55,-999.0,-999.0,0.0,0
0.04,0.06,0.1,1.05,20,0.55,-999.0,-999.0,0.0,0
0.04,0.06,0.1,1.1,20,0.55,-999.0,-999.0,0.0,0
0.04,0.09,0.07,1.05,20,0.55,-999.0,-999.0,0.0,0
0.04,0.09,0.07,1.1,20,0.55,-999.0,-999.0,0.0,0
0.04,0.09,0.1,1.05,20,0.55,-999.0,-999.0,0.0,0
0.04,0.09,0.1,1.1,20,0.55,-999.0,-999.0,0.0,0
