symbol,variant,Label,Total Return %,Max Drawdown %,Sharpe Ratio,Win Rate %,Total Trades,Profit Factor
AAPL,base,BASE [AAPL],23.72,3.17,1.099,51.52,34,2.732
AAPL,ai_filter,AI_FILTER [AAPL],13.21,2.14,0.989,50.0,26,2.743
AAPL,ai_ranked,AI_RANKED [AAPL],5.76,1.8,0.822,66.67,6,5.369
MSFT,base,BASE [MSFT],7.18,6.2,0.358,37.21,43,1.306
MSFT,ai_filter,AI_FILTER [MSFT],6.27,4.83,0.453,41.67,36,1.462
MSFT,ai_ranked,AI_RANKED [MSFT],1.43,3.21,0.19,50.0,6,1.473
NVDA,base,BASE [NVDA],28.47,5.77,0.81,41.79,67,1.737
NVDA,ai_filter,AI_FILTER [NVDA],0.39,3.18,0.057,33.33,6,1.106
AMZN,base,BASE [AMZN],3.97,6.12,0.194,28.89,45,1.171
AMZN,ai_filter,AI_FILTER [AMZN],-1.88,7.14,-0.139,22.22,27,0.848
AMZN,ai_ranked,AI_RANKED [AMZN],4.17,1.65,0.576,42.86,7,2.737
GOOGL,base,BASE [GOOGL],14.32,4.29,0.592,40.0,40,1.798
GOOGL,ai_filter,AI_FILTER [GOOGL],9.87,3.64,0.636,42.86,28,1.986
GOOGL,ai_ranked,AI_RANKED [GOOGL],8.12,2.12,0.79,55.56,9,5.168
META,base,BASE [META],14.65,4.49,0.567,41.46,41,1.688
META,ai_filter,AI_FILTER [META],9.6,2.89,0.624,45.83,24,2.169
META,ai_ranked,AI_RANKED [META],-0.46,1.18,-0.166,0.0,1,0.0
TSLA,base,BASE [TSLA],24.86,7.55,0.728,41.18,51,1.904
TSLA,ai_filter,AI_FILTER [TSLA],2.24,1.86,0.267,66.67,3,3.585
AMD,base,BASE [AMD],6.39,10.85,0.211,34.92,63,1.144
AMD,ai_filter,AI_FILTER [AMD],2.13,0.02,0.768,100.0,1,inf
NFLX,base,BASE [NFLX],7.79,10.0,0.303,37.25,51,1.214
NFLX,ai_filter,AI_FILTER [NFLX],5.14,5.94,0.406,42.86,21,1.55
NFLX,ai_ranked,AI_RANKED [NFLX],3.85,0.2,1.091,100.0,2,inf
SPY,base,BASE [SPY],4.5,3.82,0.386,43.48,23,1.454
SPY,ai_filter,AI_FILTER [SPY],5.43,3.26,0.493,43.48,23,1.613
SPY,ai_ranked,AI_RANKED [SPY],7.71,4.08,0.615,42.86,21,1.859
QQQ,base,BASE [QQQ],8.84,3.58,0.577,45.83,24,1.858
QQQ,ai_filter,AI_FILTER [QQQ],9.31,2.95,0.705,47.83,23,2.187
QQQ,ai_ranked,AI_RANKED [QQQ],10.81,2.6,0.968,61.54,13,4.004
IWM,base,BASE [IWM],-5.57,9.68,-0.408,25.0,28,0.645
IWM,ai_filter,AI_FILTER [IWM],-4.73,8.44,-0.399,25.0,28,0.647
IWM,ai_ranked,AI_RANKED [IWM],-4.9,9.63,-0.422,26.32,19,0.549
JNJ,base,BASE [JNJ],-1.25,7.38,-0.084,30.43,24,0.839
JNJ,ai_filter,AI_FILTER [JNJ],-1.4,5.65,-0.144,30.43,24,0.804
JNJ,ai_ranked,AI_RANKED [JNJ],-2.27,4.11,-0.279,25.0,16,0.649
PG,base,BASE [PG],3.4,5.62,0.255,33.33,30,1.315
PG,ai_filter,AI_FILTER [PG],0.29,4.87,0.034,33.33,30,1.031
PG,ai_ranked,AI_RANKED [PG],-5.07,7.18,-0.432,21.05,19,0.42
KO,base,BASE [KO],-0.98,4.46,-0.058,30.43,23,0.898
KO,ai_filter,AI_FILTER [KO],-0.94,3.91,-0.079,31.82,22,0.872
KO,ai_ranked,AI_RANKED [KO],-1.71,4.64,-0.143,20.0,15,0.773
