window,train_start,train_end,test_start,test_end,total_return_pct,max_drawdown_pct,sharpe,n_trades,win_rate_pct,profit_factor,profit_factor_reliable,avg_win_pct,avg_loss_pct,expectancy_pct,longest_losing_streak,warning
0,2016-01-04,2018-01-04,2018-01-04,2018-07-04,3.22,-5.449,0.945,15,60.0,1.787,False,5.032,-4.094,1.382,2,n_trades=15 < 30 — profit factor unreliable
1,2016-07-04,2018-07-04,2018-07-04,2019-01-04,-3.471,-5.009,-0.874,12,16.67,0.446,False,12.441,-3.182,-0.578,5,n_trades=12 < 30 — profit factor unreliable
2,2017-01-04,2019-01-04,2019-01-04,2019-07-04,3.657,-2.495,1.384,10,60.0,2.887,False,4.926,-3.658,1.492,3,n_trades=10 < 30 — profit factor unreliable
3,2017-07-04,2019-07-04,2019-07-04,2020-01-04,6.211,-4.089,1.959,18,55.56,2.229,False,7.038,-3.925,2.165,4,n_trades=18 < 30 — profit factor unreliable
4,2018-01-04,2020-01-04,2020-01-04,2020-07-04,5.068,-3.272,1.265,11,72.73,5.162,False,5.944,-2.99,3.507,2,n_trades=11 < 30 — profit factor unreliable
5,2018-07-04,2020-07-04,2020-07-04,2021-01-04,0.207,-7.061,0.093,17,41.18,1.036,False,8.216,-5.995,-0.143,6,n_trades=17 < 30 — profit factor unreliable
6,2019-01-04,2021-01-04,2021-01-04,2021-07-04,4.267,-4.02,1.18,17,52.94,1.999,False,6.054,-3.667,1.479,4,n_trades=17 < 30 — profit factor unreliable
7,2019-07-04,2021-07-04,2021-07-04,2022-01-04,0.515,-3.918,0.171,18,44.44,1.119,False,5.699,-2.865,0.941,4,n_trades=18 < 30 — profit factor unreliable
8,2020-01-04,2022-01-04,2022-01-04,2022-07-04,-1.856,-1.998,-1.339,4,0.0,0.0,False,,-2.289,-2.289,4,n_trades=4 < 30 — profit factor unreliable
9,2020-07-04,2022-07-04,2022-07-04,2023-01-04,-2.498,-2.691,-2.196,5,0.0,0.0,False,,-2.611,-2.611,5,n_trades=5 < 30 — profit factor unreliable
10,2021-01-04,2023-01-04,2023-01-04,2023-07-04,8.058,-2.317,1.798,15,66.67,4.057,False,7.026,-2.681,3.791,3,n_trades=15 < 30 — profit factor unreliable
11,2021-07-04,2023-07-04,2023-07-04,2024-01-04,-1.676,-4.823,-0.594,12,41.67,0.668,False,3.51,-4.356,-1.078,3,n_trades=12 < 30 — profit factor unreliable
12,2022-01-04,2024-01-04,2024-01-04,2024-07-04,7.445,-3.968,1.408,16,62.5,2.753,False,6.993,-4.145,2.816,3,n_trades=16 < 30 — profit factor unreliable
13,2022-07-04,2024-07-04,2024-07-04,2025-01-04,-3.752,-4.022,-1.198,14,35.71,0.395,False,2.592,-4.122,-1.724,6,n_trades=14 < 30 — profit factor unreliable
14,2023-01-04,2025-01-04,2025-01-04,2025-07-04,4.303,-3.905,1.446,10,70.0,3.392,False,5.812,-3.763,2.939,1,n_trades=10 < 30 — profit factor unreliable
